complaint_id,complaint_text,language,department_label,priority_level,sentiment,ward_location
GRV-2024-101447,BESIDE APARTMENT TOWER SEWAGE MIXED WITH DRINKING WATER ????,English,Water Supply,Critical,Angry,Ward_24
GRV-2024-101114,suddenly today road sinking near metro station,English,Roads & Traffic,Critical,Panic,Ward_27
GRV-2024-101064,terrible situation after pipeline digging slippery mud everywhere in slum area,English,Roads & Traffic,Critical,Neutral,Ward_05
GRV-2024-102287,मंडईजवळ पार्कमध्ये गवत वाढले,Marathi,Public Parks & Infrastructure,Medium,Frustrated,Ward_08
GRV-2024-101537,paani aa hi nahi raha power cut ke time mandir ke bahar,Hinglish,Water Supply,Medium,Panic,Ward_05
GRV-2024-100668,ஏடிஎம் அருகில் மின் கம்பி அறுந்து தொங்குகிறது ஐயா தயவுசெய்து உதவுங்கள் ????,Tamil,Electricity,Critical,Pleading,Ward_07
GRV-2024-101583,no supply at all in public garden,English,Water Supply,Critical,Angry,Ward_04
GRV-2024-102404,PRK DRK,Hinglish,Public Parks & Infrastructure,Low,Panic,Ward_18
GRV-2024-100497,beside ATM transformer blasted during festival crowd,English,Electricity,Critical,Angry,Ward_21
GRV-2024-102480,कल शाम से अस्पताल के सामने आवारा कुत्ते बच्चों के पीछे भाग रहे हैं,Hindi,Public Parks & Infrastructure,Low,Frustrated,Ward_15
GRV-2024-100471,TR GR GY,English,Electricity,Critical,Angry,Ward_09
GRV-2024-100246,स्थिति बहुत खराब है खंभा गिर गया,Hindi,Electricity,Critical,Angry,Ward_05
GRV-2024-100923,emergency hai waterlogging ke baad manhole khula hai,Hinglish,Roads & Traffic,Low,Panic,Ward_18
GRV-2024-101131,festival bheed me divider otot gaya hai,Hinglish,Roads & Traffic,Low,Frustrated,Ward_15
GRV-2024-100670,nangi taar latak rahi hai railway crossing pe ????,Hinglish,Electricity,Critical,Frustrated,Ward_09
GRV-2024-100916,Traffic jam,Tamil,Roads & Traffic,Medium,Frustrated,Ward_13
GRV-2024-101414,தண்ணீர் வரவில்லை காய்கறி சந்தை அருகில்,Tamil,Water Supply,High,Angry,Ward_24
GRV-2024-101606,गंदा पानी आ रहा है सरकारी स्कूल के पास त्योहार की भीड़ में,Hindi,Water Supply,Medium,Frustrated,Ward_12
GRV-2024-100402,transformer blast ho gaya market road pe,Hinglish,Electricity,High,Frustrated,Ward_21
GRV-2024-101103,ম্যানহোল খোলা সবজি বাজারের কাছে,Bengali,Roads & Traffic,High,Frustrated,Ward_24
GRV-2024-102072,dead animal smelling bad beside hospital,English,Sanitation & Waste,Low,Frustrated,Ward_15
GRV-2024-100719,main market road collapsed,English,Roads & Traffic,High,Frustrated,Ward_19
GRV-2024-102011,mr jnwr pda h hsptal k bgl m,Hinglish,Sanitation & Waste,High,Frustrated,Ward_24
GRV-2024-102436,கனமழைக்கு பின் பஸ் ஸ்டாண்ட் அருகில் பூங்கா விளக்குகள் எரியவில்லை ஆபத்து,Tamil,Public Parks & Infrastructure,Medium,Frustrated,Ward_18
GRV-2024-100196,TAAR GIR GAYA,English,Electricity,Low,Panic,Ward_03
GRV-2024-100891,धोका आहे सिग्नल बंद आहे ATM जवळ रात्रीच्या वेळी,Marathi,Roads & Traffic,Critical,Frustrated,Ward_14
GRV-2024-101264,bohot bda gddh bn gay pipln khd k bd mtr sttin k pss,Hinglish,Roads & Traffic,Critical,Panic,Ward_16
GRV-2024-101034,TERRIBLE SITUATION IN SLUM AREA MAIN MARKET ROAD COLLAPSED,English,Roads & Traffic,High,Panic,Ward_07
GRV-2024-101325,BESIDE APARTMENT TOWER EXTREMEYL LOW PRESSURE,English,Water Supply,High,Panic,Ward_29
GRV-2024-100509,Koi action yku nahi le raha kal shaam se road pe current aa raha hai sabzi mandi ke paas,Hinglish,Electricity,High,Frustrated,Ward_11
GRV-2024-101427,बिजली कटौती के दौरान प्रेशर बहुत कम है,Hindi,Water Supply,Medium,Panic,Ward_03
GRV-2024-100194,पूरे इलाके में अंधेरा है ट्रैफिक चौराहे पर!!!,Hindi,Electricity,Critical,Panic,Ward_05
GRV-2024-101179,diggng lft nfnshd nar vgetabl mrkt ????,English,Roads & Traffic,Critical,Frustrated,Ward_24
GRV-2024-102032,macchar bohot ho gaye kal shaam se ????,Hinglish,Sanitation & Waste,Critical,Frustrated,Ward_03
GRV-2024-100932,निर्माण कार्य के बाद सड़क नीचे जा रही है बस स्टैंड के पास,Hindi,Roads & Traffic,Low,Panic,Ward_05
GRV-2024-101124,तूफान के दौरान सड़क पर कीचड़ है अपार्टमेंट के पास,Hindi,Roads & Traffic,High,Panic,Ward_17
GRV-2024-101822,dead animal smelling bad please check immediately after construction work,English,Sanitation & Waste,Medium,Frustrated,Ward_12
GRV-2024-101366,রেলওয়ে ক্রসিংয়ের কাছে জলের প্রেসার কম দয়া করে সাহায্য করুন,Bengali,Water Supply,High,Frustrated,Ward_04
GRV-2024-101992,dead animal semlling bad near railway crossing,English,Sanitation & Waste,Medium,Frustrated,Ward_19
GRV-2024-101258,রাস্তা ধসে গেছে বাস স্ট্যান্ডের কাছে,Bengali,Roads & Traffic,High,Frustrated,Ward_25
GRV-2024-102274,park lights are completely broken during the storm beside hospital ????,English,Public Parks & Infrastructure,Critical,Frustrated,Ward_02
GRV-2024-101273,sr pls help trffc sgnal s ded near ptrol pmp,English,Roads & Traffic,High,Panic,Ward_02
GRV-2024-101936,in slum area garbage overflowing on roda,English,Sanitation & Waste,High,Frustrated,Ward_08
GRV-2024-101266,KHD K CHHD DIY MNDIR K BHR,Hinglish,Roads & Traffic,Medium,Panic,Ward_22
GRV-2024-100772,URGENT after heavy rain digging left unfinished,English,Roads & Traffic,Critical,Angry,Ward_15
GRV-2024-101608,why is nobody listening sewage mixed with drinking water,English,Water Supply,High,Pleading,Ward_02
GRV-2024-101311,tanker did nto come Terrible situation,English,Water Supply,High,Frustrated,Ward_11
GRV-2024-100134,FESTIVAL BHEED ME ROAD PE CURRENT AA RAHA HAI ATM KE SAAMNE,Hinglish,Electricity,Medium,Angry,Ward_18
GRV-2024-101855,ARRE YAAR SEWER LINE BLOCK HO GAYI HOSPITAL KE ABGAL ME BAARISH KE BAAD,Hinglish,Sanitation & Waste,Critical,Panic,Ward_13
GRV-2024-102399,aj chnk slm r m awry ktte peche pd rah!!!,Hinglish,Public Parks & Infrastructure,Critical,Frustrated,Ward_21
GRV-2024-100420,meter box caught fire suddenly today beside hospital!!!,English,Electricity,Critical,Frustrated,Ward_26
GRV-2024-101755,metro station ke pass sewer line block ho gayi baarish ke baad,Hinglish,Sanitation & Waste,Critical,Panic,Ward_28
GRV-2024-100707,traffic signal is dead near govt school!!!,English,Roads & Traffic,Critical,Panic,Ward_02
GRV-2024-100093,Emergency hai khamab gir gaya coaching center ke bahar!!,Hinglish,Electricity,Critical,Angry,Ward_11
GRV-2024-100056,puri colony me andhera hai toofan ke time Koi sun lo,Hinglish,Electricity,Medium,Frustrated,Ward_29
GRV-2024-100218,AFTER WATERLOGGING ENTIER AREA IS DARK NEAR BUS STAND!!,English,Electricity,Critical,Panic,Ward_15
