complaint_id,complaint_text,model_input_text,language,user_persona,is_valid_grievance,primary_department,secondary_departments,department_labels,priority_level,sentiment,authenticity_label,fake_category,spam_flag,manipulation_flag,actionable,civic_relevance,governance_scope,public_safety_risk,escalation_required,trust_score,civic_score,department_confidence,ward_location
GRV-BCE5251E70,মাঠের রিপোর্ট: factory smoke is causing breathing prblm তাড়াতাড়ি সমাধান করুন,মাঠের রিপোর্ট: factory smoke is causing breathing prblm তাড়াতাড়ি সমাধান করুন,Bengali,Public Worker,1,Pollution Control,Health & Public Hygiene,Pollution Control|Health & Public Hygiene,High,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,93,85,0.59,Ward-149
GRV-EE3B116C59,"आदरणीय साहेब, सार्वजनिक शौचालय खूप घाण आहे रेल्वे फाटकाजवळ कृपया लक्ष द्या?","आदरणीय साहेब, सार्वजनिक शौचालय खूप घाण आहे रेल्वे फाटकाजवळ कृपया लक्ष द्या?",Marathi,Elderly Citizen,1,Health & Public Hygiene,,Health & Public Hygiene,Medium,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,98,81,0.89,Ward-106
GRV-487CA33C05,ভাই মশা বেড়ে জ্বরের কেস বাড়ছে কলোনির গেটে আমরা ক্লান্ত,ভাই মশা বেড়ে জ্বরের কেস বাড়ছে কলোনির গেটে আমরা ক্লান্ত,Bengali,Student,1,Health & Public Hygiene,,Health & Public Hygiene,Medium,Frustrated,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,73,84,0.87,Ward-31
GRV-A8AE844FA8,fire near bus depot is spreading smoke தகவலுக்காக 📍,fire near bus depot is spreading smoke தகவலுக்காக 📍,Tamil,Low Literacy User,1,Fire Department,Public Transport,Fire Department|Public Transport,Critical,Neutral,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,98,93,0.48,Ward-75
GRV-ABF687CBF2,मदत करा नालीचे झाकण थोडे सैल आहे सरकारी शाळेजवळ मुलींना असुरक्षित वाटते 😭,मदत करा नालीचे झाकण थोडे सैल आहे सरकारी शाळेजवळ मुलींना असुरक्षित वाटते 😭,Marathi,Women Complainant,1,Drainage & Flood Control,,Drainage & Flood Control,Medium,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,94,84,0.92,Ward-11
GRV-AC4FF00C74,stray dogs attacked children near school please help ladkiyan unsafe feel kar rahi? 🥺,stray dogs attacked children near school please help ladkiyan unsafe feel kar rahi? 🥺,Hinglish,Women Complainant,1,Animal Control,Public Safety & Police,Animal Control|Public Safety & Police,High,Panic,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,89,94,0.46,Ward-129
GRV-B8EC81A884,bhai full negligence hai bus shelter roof rain me leak hota highway turn pe!!,bhai full negligence hai bus shelter roof rain me leak hota highway turn pe!!,Hinglish,Student,1,Public Transport,,Public Transport,High,Angry,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,84,100,0.98,Ward-124
GRV-4634A935D2,"Sir, drain cover thoda loose hai railway crossing ke paas request hai","Sir, drain cover thoda loose hai railway crossing ke paas request hai",Hinglish,Elderly Citizen,1,Drainage & Flood Control,,Drainage & Flood Control,Medium,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,False,False,93,73,0.92,Ward-31
GRV-557096D0D4,bijli gul कई बार बताया हमारी बस्ती में!! 😞,bijli gul कई बार बताया हमारी बस्ती में!! 😞,Hindi,Rural Resident,1,Electricity,,Electricity,High,Frustrated,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,85,78,0.91,Ward-20
GRV-73967D4F94,स्थळ अहवाल: खेळाचा स्लाइड कोसळला आणि मुले जवळ आहेत भाजी मंडईजवळ लवकर सोडवा,स्थळ अहवाल: खेळाचा स्लाइड कोसळला आणि मुले जवळ आहेत भाजी मंडईजवळ लवकर सोडवा,Marathi,Public Worker,1,Public Parks & Infrastructure,,Public Parks & Infrastructure,Critical,Pleading,Genuine,,False,False,True,Relevant,Municipal/Governance,True,True,96,87,0.87,Ward-114
